Study	nT	nC	T	x	V
1	28	22	0.22	0	0.0817
2	39	40	0.09	0	0.0507
3	22	17	0.14	0	0.1045
4	48	43	0.14	0	0.0442
5	25	74	-0.01	0	0.0535
6	37	35	0.14	0	0.0557
7	24	70	0.18	0	0.0561
8	16	19	0.01	0	0.1151
9	43	37	0.01	0	0.0503
10	19	13	0.67	0	0.1366
11	16	11	-0.38	0	0.1561
12	20	12	-0.24	0	0.1342
13	39	28	0.29	0	0.0620
14	38	25	0.26	1	0.0669
15	18	13	-0.41	1	0.1352
16	19	13	0.08	1	0.1297
17	37	22	0.30	1	0.0732
18	19	11	-0.53	1	0.1482
19	17	13	0.13	1	0.1360
20	20	12	0.26	1	0.1344
21	20	13	0.47	1	0.1303
22	145	129	0.13	0	0.0147
22	145	129	0.12	1	0.0147
23	72	129	0.25	0	0.0218
23	72	129	0.06	1	0.0216
24	71	129	0.31	0	0.0221
24	71	129	0.09	1	0.0219
25	13	14	0.00	0	0.1484
25	13	14	0.07	1	0.1484
26	16	17	0.13	0	0.1216
26	16	17	0.48	1	0.1248
