"study" "outcome" "r" "var" "n" "sampletype1"
"90" 1 1 -0.25 0.0093500664893617 95 "conv"
"91" 2 2 -0.17 0.00504296903743315 188 "conv"
"92" 3 3 -0.15 0.00892996495327103 108 "conv"
"360" 4 4 -0.155 0.00134918866944051 707 "conv"
"361" 4 5 -0.135 0.00107336542385857 899 "conv"
"449" 4 6 -0.088 0.00139457786053258 707 "conv"
"450" 4 7 -0.053 0.00110733840810802 899 "conv"
"96" 5 8 -0.174 0.00519538473025414 182 "conv"
"362" 5 9 -0.089 0.00271884182939503 363 "conv"
"451" 5 10 -0.175 0.00259582290227901 363 "conv"
"540" 5 11 -0.154 0.00263295704048619 363 "conv"
"97" 6 12 -0.15 0.00295822368421053 324 "conv"
"98" 7 13 -0.118 0.00503806154288083 194 "conv"
"99" 7 14 -0.317 0.00577942885086428 141 "conv"
"100" 8 15 -0.32 0.0206586092307692 40 "conv"
"101" 9 16 -0.186 0.00401726242765517 233 "conv"
"102" 10 17 -0.096 0.00177835676568116 553 "conv"
"103" 11 18 -0.101 0.0128908165842237 77 "conv"
"104" 11 19 -0.12 0.0102253406315789 96 "conv"
"372" 12 20 -0.125 0.00872967694256757 112 "MTurk"
"373" 12 21 -0.126 0.00357380091282657 272 "MTurk"
"461" 12 22 -0.115 0.00877229640202703 112 "MTurk"
"462" 12 23 -0.217 0.00335069879675646 272 "MTurk"
"107" 13 24 -0.131 0.00355136948500368 273 "MTurk"
"108" 14 25 -0.045 0.000293013857200647 3400 "repr"
"197" 14 26 -0.125 0.000285082124338041 3400 "repr"
"109" 15 27 -0.111 0.00305802447348276 320 "conv"
"110" 15 28 0.154 0.00362407014698099 264 "conv"
"198" 15 29 -0.132 0.00302650656983072 320 "conv"
"199" 15 30 -0.027 0.00379673966327376 264 "conv"
"112" 16 31 -0.091 0.00227137777127252 434 "conv"
"378" 16 32 -0.132 0.000907383078736842 1065 "conv"
"467" 16 33 -0.129 0.000908829814737782 1065 "conv"
"380" 17 34 -0.13 0.0033442408650519 290 "MTurk"
"469" 17 35 -0.31 0.0028271114532872 290 "MTurk"
"381" 18 36 -0.15 0.00323900423728814 296 "MTurk"
"470" 18 37 -0.15 0.00323900423728814 296 "MTurk"
"382" 19 38 -0.167 0.00379517990490361 250 "MTurk"
